hornets_avg_pts_last_5,hornets_avg_reb_last_5,hornets_recent_wins_last_5,hornets_win_rate,celtics_avg_pts_last_5,celtics_avg_reb_last_5,celtics_recent_wins_last_5,celtics_win_rate,outcome
109.4,36.0,2,0.3761194029850746,124.0,48.8,4,0.8125,0
103.2,36.4,1,0.3768996960486322,124.8,47.8,4,0.8,0
108.6,45.4,1,0.40823970037453183,129.2,46.0,5,0.8571428571428571,1
106.6,50.2,2,0.41732283464566927,126.2,46.4,5,0.8461538461538461,0
108.4,44.6,0,0.41333333333333333,127.6,49.0,5,0.8333333333333334,0
117.8,44.0,1,0.41784037558685444,124.6,49.0,5,0.8181818181818182,0
118.0,43.6,1,0.419811320754717,122.8,48.2,5,0.8,0
110.8,49.4,2,0.4444444444444444,115.2,48.0,4,0.7777777777777778,0
110.0,43.8,2,0.46987951807228917,120.8,47.2,4,0.75,0
120.6,42.8,3,0.47560975609756095,118.0,46.8,4,0.7142857142857143,0
119.0,44.4,2,0.4557823129251701,115.8,45.6,3,0.6666666666666666,0
113.8,44.2,2,0.4772727272727273,116.4,46.0,3,0.6,0
106.4,44.4,4,0.472,120.0,48.0,3,0.75,1
103.8,46.2,3,0.4523809523809524,113.33333333333333,46.333333333333336,2,0.6666666666666666,0
105.0,39.8,2,0.47692307692307695,110.0,42.5,1,0.5,0
104.0,39.6,2,0.47619047619047616,116.0,44.0,1,1.0,1
